,id,title,original_language,release_date,release_mon,release_month,release_year,vote_average,popularity,adult
12444,361380,Barbie & Her Sisters in the Great Puppy Adventure,en,10/7/15,10,October,2015,7.3,19.458,FALSE
15497,360638,The Student and Mister Henri,fr,10/7/15,10,October,2015,6.6,7.214,FALSE
4596,318917,Look Who's Back,de,10/8/15,10,October,2015,6.8,12.761,FALSE
8806,362637,Opposites Attract,it,10/8/15,10,October,2015,6,9.623,FALSE
14596,318917,Look Who's Back,de,10/8/15,10,October,2015,6.8,12.761,FALSE
18806,362637,Opposites Attract,it,10/8/15,10,October,2015,6,9.623,FALSE
4810,321697,Steve Jobs,en,10/9/15,10,October,2015,6.8,16.772,FALSE
6633,293970,The Final Girls,en,10/9/15,10,October,2015,6.4,12.453,FALSE
14810,321697,Steve Jobs,en,10/9/15,10,October,2015,6.8,16.772,FALSE
16633,293970,The Final Girls,en,10/9/15,10,October,2015,6.4,12.453,FALSE
5468,201085,Crimson Peak,en,10/13/15,10,October,2015,6.6,20.455,FALSE
15468,201085,Crimson Peak,en,10/13/15,10,October,2015,6.6,20.455,FALSE
2225,356296,Suburra,it,10/14/15,10,October,2015,7.3,11.231,FALSE
6768,290751,Secret in Their Eyes,en,10/14/15,10,October,2015,6.4,10.695,FALSE
12225,356296,Suburra,it,10/14/15,10,October,2015,7.3,11.231,FALSE
16768,290751,Secret in Their Eyes,en,10/14/15,10,October,2015,6.4,10.695,FALSE
2571,296098,Bridge of Spies,en,10/15/15,10,October,2015,7.2,18.558,FALSE
3481,254320,The Lobster,en,10/15/15,10,October,2015,7,22.022,FALSE
9813,346808,Momentum,en,10/15/15,10,October,2015,5.7,15.485,FALSE
12571,296098,Bridge of Spies,en,10/15/15,10,October,2015,7.2,18.558,FALSE
13481,254320,The Lobster,en,10/15/15,10,October,2015,7,22.022,FALSE
19813,346808,Momentum,en,10/15/15,10,October,2015,5.7,15.485,FALSE
279,264644,Room,en,10/16/15,10,October,2015,8,16.27,FALSE
2392,245168,Suffragette,en,10/16/15,10,October,2015,7.3,10.453,FALSE
5777,300693,Truth,en,10/16/15,10,October,2015,6.6,7.627,FALSE
5783,309299,Experimenter,en,10/16/15,10,October,2015,6.6,11.727,FALSE
5857,359246,Hell House LLC,en,10/16/15,10,October,2015,6.6,12.756,FALSE
9596,306964,Tales of Halloween,en,10/16/15,10,October,2015,5.8,9.593,FALSE
10279,264644,Room,en,10/16/15,10,October,2015,8,16.27,FALSE
12392,245168,Suffragette,en,10/16/15,10,October,2015,7.3,10.453,FALSE
15777,300693,Truth,en,10/16/15,10,October,2015,6.6,7.627,FALSE
15783,309299,Experimenter,en,10/16/15,10,October,2015,6.6,11.727,FALSE
15857,359246,Hell House LLC,en,10/16/15,10,October,2015,6.6,12.756,FALSE
19596,306964,Tales of Halloween,en,10/16/15,10,October,2015,5.8,9.593,FALSE
2186,167073,Brooklyn,en,10/20/15,10,October,2015,7.3,17.857,FALSE
12186,167073,Brooklyn,en,10/20/15,10,October,2015,7.3,17.857,FALSE
8893,274854,The Last Witch Hunter,en,10/21/15,10,October,2015,5.9,33.678,FALSE
18893,274854,The Last Witch Hunter,en,10/21/15,10,October,2015,5.9,33.678,FALSE
9640,363757,Loving Only You,it,10/22/15,10,October,2015,5.7,9.216,FALSE
19640,363757,Loving Only You,it,10/22/15,10,October,2015,5.7,9.216,FALSE
1978,302528,Remember,en,10/23/15,10,October,2015,7.4,10.459,FALSE
4482,294963,Bone Tomahawk,en,10/23/15,10,October,2015,6.8,22.904,FALSE
6209,273477,Scouts Guide to the Zombie Apocalypse,en,10/23/15,10,October,2015,6.5,45.678,FALSE
11978,302528,Remember,en,10/23/15,10,October,2015,7.4,10.459,FALSE
14482,294963,Bone Tomahawk,en,10/23/15,10,October,2015,6.8,22.904,FALSE
16209,273477,Scouts Guide to the Zombie Apocalypse,en,10/23/15,10,October,2015,6.5,45.678,FALSE
6031,206647,Spectre,en,10/26/15,10,October,2015,6.5,30.638,FALSE
16031,206647,Spectre,en,10/26/15,10,October,2015,6.5,30.638,FALSE
2877,294016,Trumbo,en,10/27/15,10,October,2015,7.2,12.642,FALSE
12877,294016,Trumbo,en,10/27/15,10,October,2015,7.2,12.642,FALSE
3632,298382,The Dressmaker,en,10/29/15,10,October,2015,7,14.076,FALSE
9054,363869,Belli di papà,it,10/29/15,10,October,2015,5.9,6.555,FALSE
13632,298382,The Dressmaker,en,10/29/15,10,October,2015,7,14.076,FALSE
19054,363869,Belli di papà,it,10/29/15,10,October,2015,5.9,6.555,FALSE
6546,328589,The Lady in the Van,en,10/30/15,10,October,2015,6.4,11.683,FALSE
7922,218784,Freaks of Nature,en,10/30/15,10,October,2015,6.2,15.521,FALSE
16546,328589,The Lady in the Van,en,10/30/15,10,October,2015,6.4,11.683,FALSE
17922,218784,Freaks of Nature,en,10/30/15,10,October,2015,6.2,15.521,FALSE
2928,355338,Riley's First Date?,en,11/3/15,11,November,2015,7.1,18.675,FALSE
12928,355338,Riley's First Date?,en,11/3/15,11,November,2015,7.1,18.675,FALSE
1339,364137,All Three of Us,fr,11/4/15,11,November,2015,7.5,6.305,FALSE
3368,340357,April and the Extraordinary World,fr,11/4/15,11,November,2015,7,10.482,FALSE
11339,364137,All Three of Us,fr,11/4/15,11,November,2015,7.5,6.305,FALSE
13368,340357,April and the Extraordinary World,fr,11/4/15,11,November,2015,7,10.482,FALSE
4303,227973,The Peanuts Movie,en,11/5/15,11,November,2015,6.9,22.835,FALSE
4767,348765,Alaska,it,11/5/15,11,November,2015,6.8,6.513,FALSE
8519,351964,The Escort,en,11/5/15,11,November,2015,6,16.282,FALSE
14303,227973,The Peanuts Movie,en,11/5/15,11,November,2015,6.9,22.835,FALSE
14767,348765,Alaska,it,11/5/15,11,November,2015,6.8,6.513,FALSE
18519,351964,The Escort,en,11/5/15,11,November,2015,6,16.282,FALSE
633,314365,Spotlight,en,11/6/15,11,November,2015,7.8,18.434,FALSE
8251,318922,Kill Your Friends,en,11/6/15,11,November,2015,6.1,7.804,FALSE
9798,312831,The Hallow,en,11/6/15,11,November,2015,5.7,13.213,FALSE
10633,314365,Spotlight,en,11/6/15,11,November,2015,7.8,18.434,FALSE
18251,318922,Kill Your Friends,en,11/6/15,11,November,2015,6.1,7.804,FALSE
19798,312831,The Hallow,en,11/6/15,11,November,2015,5.7,13.213,FALSE
8993,228066,Victor Frankenstein,en,11/10/15,11,November,2015,5.9,23.673,FALSE
18993,228066,Victor Frankenstein,en,11/10/15,11,November,2015,5.9,23.673,FALSE
3214,321741,Concussion,en,11/12/15,11,November,2015,7.1,14.64,FALSE
5467,367999,The Last Will Be the Last,it,11/12/15,11,November,2015,6.6,5.925,FALSE
8684,333348,Love the Coopers,en,11/12/15,11,November,2015,6,22.6,FALSE
13214,321741,Concussion,en,11/12/15,11,November,2015,7.1,14.64,FALSE
15467,367999,The Last Will Be the Last,it,11/12/15,11,November,2015,6.6,5.925,FALSE
18684,333348,Love the Coopers,en,11/12/15,11,November,2015,6,22.6,FALSE
840,367735,John Mulaney: The Comeback Kid,en,11/13/15,11,November,2015,7.7,5.068,FALSE
8240,336004,Heist,en,11/13/15,11,November,2015,6.1,17.228,FALSE
10840,367735,John Mulaney: The Comeback Kid,en,11/13/15,11,November,2015,7.7,5.068,FALSE
18240,336004,Heist,en,11/13/15,11,November,2015,6.1,17.228,FALSE
4893,105864,The Good Dinosaur,en,11/14/15,11,November,2015,6.7,55.477,FALSE
14893,105864,The Good Dinosaur,en,11/14/15,11,November,2015,6.7,55.477,FALSE
4173,131634,The Hunger Games: Mockingjay - Part 2,en,11/18/15,11,November,2015,6.9,42.301,FALSE
6260,345637,Sanjay's Super Team,en,11/18/15,11,November,2015,6.5,6.893,FALSE
14173,131634,The Hunger Games: Mockingjay - Part 2,en,11/18/15,11,November,2015,6.9,42.301,FALSE
16260,345637,Sanjay's Super Team,en,11/18/15,11,November,2015,6.5,6.893,FALSE
6193,369230,Them Who?,it,11/19/15,11,November,2015,6.5,5.897,FALSE
16193,369230,Them Who?,it,11/19/15,11,November,2015,6.5,5.897,FALSE
1472,258480,Carol,en,11/20/15,11,November,2015,7.5,17.237,FALSE
4921,205775,In the Heart of the Sea,en,11/20/15,11,November,2015,6.7,24.87,FALSE
8247,296100,The Night Before,en,11/20/15,11,November,2015,6.1,12.292,FALSE
8865,334527,Criminal Activities,en,11/20/15,11,November,2015,6,11.383,FALSE
11472,258480,Carol,en,11/20/15,11,November,2015,7.5,17.237,FALSE
14921,205775,In the Heart of the Sea,en,11/20/15,11,November,2015,6.7,24.87,FALSE
18247,296100,The Night Before,en,11/20/15,11,November,2015,6.1,12.292,FALSE
18865,334527,Criminal Activities,en,11/20/15,11,November,2015,6,11.383,FALSE
5180,359983,The Lion Guard: Return of the Roar,en,11/22/15,11,November,2015,6.7,24.593,FALSE
9873,254302,High-Rise,en,11/22/15,11,November,2015,5.7,12.488,FALSE
15180,359983,The Lion Guard: Return of the Roar,en,11/22/15,11,November,2015,6.7,24.593,FALSE
19873,254302,High-Rise,en,11/22/15,11,November,2015,5.7,12.488,FALSE
1776,312221,Creed,en,11/25/15,11,November,2015,7.4,75.876,FALSE
11776,312221,Creed,en,11/25/15,11,November,2015,7.4,75.876,FALSE
7799,324807,A Bigger Splash,en,11/26/15,11,November,2015,6.2,11.892,FALSE
7979,287903,Krampus,en,11/26/15,11,November,2015,6.1,16.951,FALSE
8151,363483,12 Gifts of Christmas,en,11/26/15,11,November,2015,6.1,13.49,FALSE
17799,324807,A Bigger Splash,en,11/26/15,11,November,2015,6.2,11.892,FALSE
17979,287903,Krampus,en,11/26/15,11,November,2015,6.1,16.951,FALSE
18151,363483,12 Gifts of Christmas,en,11/26/15,11,November,2015,6.1,13.49,FALSE
1082,306819,The Danish Girl,en,11/27/15,11,November,2015,7.6,40.366,FALSE
6468,320588,"Hello, My Name Is Doris",en,11/27/15,11,November,2015,6.5,11.711,FALSE
11082,306819,The Danish Girl,en,11/27/15,11,November,2015,7.6,40.366,FALSE
16468,320588,"Hello, My Name Is Doris",en,11/27/15,11,November,2015,6.5,11.711,FALSE
3404,367544,The Spirit of Christmas,en,11/28/15,11,November,2015,7,8.376,FALSE
13404,367544,The Spirit of Christmas,en,11/28/15,11,November,2015,7,8.376,FALSE
7052,331836,Babysitting 2,fr,12/2/15,12,December,2015,6.3,16.158,FALSE
17052,331836,Babysitting 2,fr,12/2/15,12,December,2015,6.3,16.158,FALSE
626,335578,Land of Mine,da,12/3/15,12,December,2015,7.8,12.98,FALSE
2644,370964,I Am Dragon,ru,12/3/15,12,December,2015,7.2,25.651,FALSE
9062,257088,Point Break,en,12/3/15,12,December,2015,5.9,23.029,FALSE
10626,335578,Land of Mine,da,12/3/15,12,December,2015,7.8,12.98,FALSE
12644,370964,I Am Dragon,ru,12/3/15,12,December,2015,7.2,25.651,FALSE
19062,257088,Point Break,en,12/3/15,12,December,2015,5.9,23.029,FALSE
3917,334304,Belle and Sebastian: The Adventure Continues,fr,12/8/15,12,December,2015,6.9,7.898,FALSE
13917,334304,Belle and Sebastian: The Adventure Continues,fr,12/8/15,12,December,2015,6.9,7.898,FALSE
3428,366564,Comment c'est loin,fr,12/9/15,12,December,2015,7,4.689,FALSE
13428,366564,Comment c'est loin,fr,12/9/15,12,December,2015,7,4.689,FALSE
3098,365045,Heidi,de,12/10/15,12,December,2015,7.1,12.338,FALSE
4859,360605,Invisible Sister,en,12/10/15,12,December,2015,6.8,10.917,FALSE
13098,365045,Heidi,de,12/10/15,12,December,2015,7.1,12.338,FALSE
14859,360605,Invisible Sister,en,12/10/15,12,December,2015,6.8,10.917,FALSE
2066,318846,The Big Short,en,12/11/15,12,December,2015,7.3,30.709,FALSE
5560,325173,Close Range,en,12/11/15,12,December,2015,6.6,11.998,FALSE
9843,367551,American Hero,en,12/11/15,12,December,2015,5.7,6.541,FALSE
12066,318846,The Big Short,en,12/11/15,12,December,2015,7.3,30.709,FALSE
15560,325173,Close Range,en,12/11/15,12,December,2015,6.6,11.998,FALSE
19843,367551,American Hero,en,12/11/15,12,December,2015,5.7,6.541,FALSE
2264,140607,Star Wars: The Force Awakens,en,12/15/15,12,December,2015,7.3,47.213,FALSE
2777,353326,The Man Who Knew Infinity,en,12/15/15,12,December,2015,7.2,17.06,FALSE
12264,140607,Star Wars: The Force Awakens,en,12/15/15,12,December,2015,7.3,47.213,FALSE
12777,353326,The Man Who Knew Infinity,en,12/15/15,12,December,2015,7.2,17.06,FALSE
4755,369770,The Sense of Wonder,fr,12/16/15,12,December,2015,6.8,8.285,FALSE
14755,369770,The Sense of Wonder,fr,12/16/15,12,December,2015,6.8,8.285,FALSE
8605,258509,Alvin and the Chipmunks: The Road Chip,en,12/17/15,12,December,2015,6,27.845,FALSE
18605,258509,Alvin and the Chipmunks: The Road Chip,en,12/17/15,12,December,2015,6,27.845,FALSE
2432,362045,Bajirao Mastani,hi,12/18/15,12,December,2015,7.3,14.593,FALSE
5664,370665,Dilwale,hi,12/18/15,12,December,2015,6.6,11.115,FALSE
7906,279690,He Never Died,en,12/18/15,12,December,2015,6.2,9.207,FALSE
8869,266294,Sisters,en,12/18/15,12,December,2015,6,13.25,FALSE
8913,382517,Open Season: Scared Silly,en,12/18/15,12,December,2015,5.9,20.789,FALSE
12432,362045,Bajirao Mastani,hi,12/18/15,12,December,2015,7.3,14.593,FALSE
15664,370665,Dilwale,hi,12/18/15,12,December,2015,6.6,11.115,FALSE
17906,279690,He Never Died,en,12/18/15,12,December,2015,6.2,9.207,FALSE
18869,266294,Sisters,en,12/18/15,12,December,2015,6,13.25,FALSE
18913,382517,Open Season: Scared Silly,en,12/18/15,12,December,2015,5.9,20.789,FALSE
3700,365222,Ip Man 3,cn,12/24/15,12,December,2015,7,18.653,FALSE
6135,274479,Joy,en,12/24/15,12,December,2015,6.5,19.095,FALSE
13700,365222,Ip Man 3,cn,12/24/15,12,December,2015,7,18.653,FALSE
16135,274479,Joy,en,12/24/15,12,December,2015,6.5,19.095,FALSE
769,273248,The Hateful Eight,en,12/25/15,12,December,2015,7.7,25.5,FALSE
1087,348678,A Man Called Ove,sv,12/25/15,12,December,2015,7.6,14.277,FALSE
1343,281957,The Revenant,en,12/25/15,12,December,2015,7.5,49.05,FALSE
1847,274109,Palm Trees in the Snow,es,12/25/15,12,December,2015,7.4,21.119,FALSE
7387,274167,Daddy's Home,en,12/25/15,12,December,2015,6.3,28.74,FALSE
7400,375742,The Lure,pl,12/25/15,12,December,2015,6.3,8.848,FALSE
10769,273248,The Hateful Eight,en,12/25/15,12,December,2015,7.7,25.5,FALSE
11087,348678,A Man Called Ove,sv,12/25/15,12,December,2015,7.6,14.277,FALSE
11343,281957,The Revenant,en,12/25/15,12,December,2015,7.5,49.05,FALSE
11847,274109,Palm Trees in the Snow,es,12/25/15,12,December,2015,7.4,21.119,FALSE
17387,274167,Daddy's Home,en,12/25/15,12,December,2015,6.3,28.74,FALSE
17400,375742,The Lure,pl,12/25/15,12,December,2015,6.3,8.848,FALSE
2998,291270,Anomalisa,en,12/30/15,12,December,2015,7.1,17.347,FALSE
12998,291270,Anomalisa,en,12/30/15,12,December,2015,7.1,17.347,FALSE
9325,174751,Jane Got a Gun,en,12/31/15,12,December,2015,5.8,15.396,FALSE
9400,334394,Baskin,tr,12/31/15,12,December,2015,5.8,11.193,FALSE
19325,174751,Jane Got a Gun,en,12/31/15,12,December,2015,5.8,15.396,FALSE
19400,334394,Baskin,tr,12/31/15,12,December,2015,5.8,11.193,FALSE
514,379170,Sherlock: The Abominable Bride,en,1/1/16,1,January,2016,7.9,17.143,FALSE
4511,374416,Where Am I Going?,it,1/1/16,1,January,2016,6.8,9.922,FALSE
10514,379170,Sherlock: The Abominable Bride,en,1/1/16,1,January,2016,7.9,17.143,FALSE
14511,374416,Where Am I Going?,it,1/1/16,1,January,2016,6.8,9.922,FALSE
746,357786,Kizumonogatari Part 1: Tekketsu,ja,1/8/16,1,January,2016,7.8,14.969,FALSE
10746,357786,Kizumonogatari Part 1: Tekketsu,ja,1/8/16,1,January,2016,7.8,14.969,FALSE
2343,300671,13 Hours: The Secret Soldiers of Benghazi,en,1/14/16,1,January,2016,7.3,40.7,FALSE
7023,315880,Correspondence,en,1/14/16,1,January,2016,6.3,14.922,FALSE
7485,323675,Ride Along 2,en,1/14/16,1,January,2016,6.2,16.063,FALSE
8885,299687,The 5th Wave,en,1/14/16,1,January,2016,5.9,30.374,FALSE
12343,300671,13 Hours: The Secret Soldiers of Benghazi,en,1/14/16,1,January,2016,7.3,40.7,FALSE
17023,315880,Correspondence,en,1/14/16,1,January,2016,6.3,14.922,FALSE
17485,323675,Ride Along 2,en,1/14/16,1,January,2016,6.2,16.063,FALSE
18885,299687,The 5th Wave,en,1/14/16,1,January,2016,5.9,30.374,FALSE
4104,377897,Barbie: Spy Squad,en,1/15/16,1,January,2016,6.9,23.6,FALSE
9020,333674,Intruders,en,1/15/16,1,January,2016,5.9,9.529,FALSE
14104,377897,Barbie: Spy Squad,en,1/15/16,1,January,2016,6.9,23.6,FALSE
19020,333674,Intruders,en,1/15/16,1,January,2016,5.9,9.529,FALSE
7085,378385,Jarhead 3: The Siege,en,1/20/16,1,January,2016,6.3,16.611,FALSE
9051,291870,Dirty Grandpa,en,1/20/16,1,January,2016,5.9,47.67,FALSE
17085,378385,Jarhead 3: The Siege,en,1/20/16,1,January,2016,6.3,16.611,FALSE
19051,291870,Dirty Grandpa,en,1/20/16,1,January,2016,5.9,47.67,FALSE
7550,259694,How to Be Single,en,1/21/16,1,January,2016,6.2,26.333,FALSE
17550,259694,How to Be Single,en,1/21/16,1,January,2016,6.2,26.333,FALSE
6096,316000,Miles Ahead,en,1/22/16,1,January,2016,6.5,8.621,FALSE
8401,308453,The Bronze,en,1/22/16,1,January,2016,6.1,9.692,FALSE
8892,321258,The Boy,en,1/22/16,1,January,2016,5.9,20.355,FALSE
16096,316000,Miles Ahead,en,1/22/16,1,January,2016,6.5,8.621,FALSE
18401,308453,The Bronze,en,1/22/16,1,January,2016,6.1,9.692,FALSE
18892,321258,The Boy,en,1/22/16,1,January,2016,5.9,20.355,FALSE
4253,140300,Kung Fu Panda 3,en,1/23/16,1,January,2016,6.9,60.177,FALSE
14253,140300,Kung Fu Panda 3,en,1/23/16,1,January,2016,6.9,60.177,FALSE
5699,300673,The Finest Hours,en,1/27/16,1,January,2016,6.6,23.451,FALSE
15699,300673,The Finest Hours,en,1/27/16,1,January,2016,6.6,23.451,FALSE
1547,392536,Lego Scooby-Doo!: Haunted Hollywood,en,1/28/16,1,January,2016,7.5,13.023,FALSE
2579,372519,The Ten Commandments: The Movie,pt,1/28/16,1,January,2016,7.2,27.546,FALSE
11547,392536,Lego Scooby-Doo!: Haunted Hollywood,en,1/28/16,1,January,2016,7.5,13.023,FALSE
12579,372519,The Ten Commandments: The Movie,pt,1/28/16,1,January,2016,7.2,27.546,FALSE
3283,348089,Grease Live,en,1/31/16,1,January,2016,7.1,10.359,FALSE
13283,348089,Grease Live,en,1/31/16,1,January,2016,7.1,10.359,FALSE
9781,288171,Blue Mountain State: The Rise of Thadland,en,2/2/16,2,February,2016,5.7,9.276,FALSE
19781,288171,Blue Mountain State: The Rise of Thadland,en,2/2/16,2,February,2016,5.7,9.276,FALSE
4254,369778,Chocolat,fr,2/3/16,2,February,2016,6.9,13.159,FALSE
5622,334524,Gold,en,2/3/16,2,February,2016,6.6,19.85,FALSE
9977,369776,The Tuche Family: The American Dream,fr,2/3/16,2,February,2016,5.6,7.29,FALSE
14254,369778,Chocolat,fr,2/3/16,2,February,2016,6.9,13.159,FALSE
15622,334524,Gold,en,2/3/16,2,February,2016,6.6,19.85,FALSE
19977,369776,The Tuche Family: The American Dream,fr,2/3/16,2,February,2016,5.6,7.29,FALSE
934,401698,Hidden Kisses,fr,2/4/16,2,February,2016,7.7,10.367,FALSE
2738,330483,The Choice,en,2/4/16,2,February,2016,7.2,16.638,FALSE
7962,58431,Pride and Prejudice and Zombies,en,2/4/16,2,February,2016,6.2,23.417,FALSE
9341,368940,Robinson Crusoe,de,2/4/16,2,February,2016,5.8,17.28,FALSE
10934,401698,Hidden Kisses,fr,2/4/16,2,February,2016,7.7,10.367,FALSE
12738,330483,The Choice,en,2/4/16,2,February,2016,7.2,16.638,FALSE
17962,58431,Pride and Prejudice and Zombies,en,2/4/16,2,February,2016,6.2,23.417,FALSE
19341,368940,Robinson Crusoe,de,2/4/16,2,February,2016,5.8,17.28,FALSE
9048,270487,"Hail, Caesar!",en,2/5/16,2,February,2016,5.9,19.575,FALSE
9960,373314,Misconduct,en,2/5/16,2,February,2016,5.6,12.228,FALSE
19048,270487,"Hail, Caesar!",en,2/5/16,2,February,2016,5.9,19.575,FALSE
19960,373314,Misconduct,en,2/5/16,2,February,2016,5.6,12.228,FALSE
2471,381707,Our Lovers,es,2/8/16,2,February,2016,7.2,7.261,FALSE
6235,381890,The Mermaid,zh,2/8/16,2,February,2016,6.5,25.945,FALSE
12471,381707,Our Lovers,es,2/8/16,2,February,2016,7.2,7.261,FALSE
16235,381890,The Mermaid,zh,2/8/16,2,February,2016,6.5,25.945,FALSE
1092,293660,Deadpool,en,2/9/16,2,February,2016,7.6,91.723,FALSE
11092,293660,Deadpool,en,2/9/16,2,February,2016,7.6,91.723,FALSE
3305,364051,The Innocents,fr,2/10/16,2,February,2016,7.1,12.194,FALSE
9319,369780,"Josephine, Pregnant & Fabulous",fr,2/10/16,2,February,2016,5.8,7.27,FALSE
13305,364051,The Innocents,fr,2/10/16,2,February,2016,7.1,12.194,FALSE
19319,369780,"Josephine, Pregnant & Fabulous",fr,2/10/16,2,February,2016,5.8,7.27,FALSE
529,381341,Perfect Strangers,it,2/11/16,2,February,2016,7.9,16.902,FALSE
762,269149,Zootopia,en,2/11/16,2,February,2016,7.7,77.948,FALSE
10529,381341,Perfect Strangers,it,2/11/16,2,February,2016,7.9,16.902,FALSE
10762,269149,Zootopia,en,2/11/16,2,February,2016,7.7,77.948,FALSE
7588,245703,Midnight Special,en,2/12/16,2,February,2016,6.2,17.456,FALSE
9772,360249,The Last King,no,2/12/16,2,February,2016,5.7,17.808,FALSE
17588,245703,Midnight Special,en,2/12/16,2,February,2016,6.2,17.456,FALSE
19772,360249,The Last King,no,2/12/16,2,February,2016,5.7,17.808,FALSE
5030,334522,Alone in Berlin,en,2/15/16,2,February,2016,6.7,9.963,FALSE
15030,334522,Alone in Berlin,en,2/15/16,2,February,2016,6.7,9.963,FALSE
4904,377799,One Man and his Cow,fr,2/17/16,2,February,2016,6.7,4.437,FALSE
7086,369781,Public Friends,fr,2/17/16,2,February,2016,6.3,6.502,FALSE
14904,377799,One Man and his Cow,fr,2/17/16,2,February,2016,6.7,4.437,FALSE
17086,369781,Public Friends,fr,2/17/16,2,February,2016,6.3,6.502,FALSE
7917,335778,Risen,en,2/18/16,2,February,2016,6.2,19.706,FALSE
8083,263341,"Crouching Tiger, Hidden Dragon: Sword of Destiny",en,2/18/16,2,February,2016,6.1,25.63,FALSE
9899,336455,Viral,en,2/18/16,2,February,2016,5.6,9.037,FALSE
17917,335778,Risen,en,2/18/16,2,February,2016,6.2,19.706,FALSE
18083,263341,"Crouching Tiger, Hidden Dragon: Sword of Destiny",en,2/18/16,2,February,2016,6.1,25.63,FALSE
19899,336455,Viral,en,2/18/16,2,February,2016,5.6,9.037,FALSE
2158,376869,Neerja,hi,2/19/16,2,February,2016,7.3,11.065,FALSE
2400,323677,Race,en,2/19/16,2,February,2016,7.3,13.317,FALSE
8866,146198,Triple 9,en,2/19/16,2,February,2016,6,14.291,FALSE
12158,376869,Neerja,hi,2/19/16,2,February,2016,7.3,11.065,FALSE
12400,323677,Race,en,2/19/16,2,February,2016,7.3,13.317,FALSE
18866,146198,Triple 9,en,2/19/16,2,February,2016,6,14.291,FALSE
26,372754,Dou kyu sei – Classmates,ja,2/20/16,2,February,2016,8.4,16.14,FALSE
10026,372754,Dou kyu sei – Classmates,ja,2/20/16,2,February,2016,8.4,16.14,FALSE
8950,267193,Grimsby,en,2/24/16,2,February,2016,5.9,18.098,FALSE
18950,267193,Grimsby,en,2/24/16,2,February,2016,5.9,18.098,FALSE
1621,364433,They Call Me Jeeg,it,2/25/16,2,February,2016,7.4,13.659,FALSE
2755,319888,Eddie the Eagle,en,2/25/16,2,February,2016,7.2,14.451,FALSE
3608,373889,The Most Beautiful Day,de,2/25/16,2,February,2016,7,6.267,FALSE
9955,205584,Gods of Egypt,en,2/25/16,2,February,2016,5.6,36.289,FALSE
11621,364433,They Call Me Jeeg,it,2/25/16,2,February,2016,7.4,13.659,FALSE
12755,319888,Eddie the Eagle,en,2/25/16,2,February,2016,7.2,14.451,FALSE
13608,373889,The Most Beautiful Day,de,2/25/16,2,February,2016,7,6.267,FALSE
19955,205584,Gods of Egypt,en,2/25/16,2,February,2016,5.6,36.289,FALSE
8430,344041,Standoff,en,2/26/16,2,February,2016,6.1,14.724,FALSE
18430,344041,Standoff,en,2/26/16,2,February,2016,6.1,14.724,FALSE
4144,377154,Being 17,fr,2/27/16,2,February,2016,6.9,8.397,FALSE
14144,377154,Being 17,fr,2/27/16,2,February,2016,6.9,8.397,FALSE
6419,333385,Mr. Right,en,2/29/16,2,February,2016,6.5,12.364,FALSE
16419,333385,Mr. Right,en,2/29/16,2,February,2016,6.5,12.364,FALSE
7839,267860,London Has Fallen,en,3/2/16,3,March,2016,6.2,34.533,FALSE
17839,267860,London Has Fallen,en,3/2/16,3,March,2016,6.2,34.533,FALSE
3609,348668,A Conspiracy of Faith,da,3/3/16,3,March,2016,7,14.259,FALSE
7545,351809,To Steal from a Thief,es,3/3/16,3,March,2016,6.2,13.142,FALSE
13609,348668,A Conspiracy of Faith,da,3/3/16,3,March,2016,7,14.259,FALSE
17545,351809,To Steal from a Thief,es,3/3/16,3,March,2016,6.2,13.142,FALSE
7402,279641,Whiskey Tango Foxtrot,en,3/4/16,3,March,2016,6.3,13.163,FALSE
17402,279641,Whiskey Tango Foxtrot,en,3/4/16,3,March,2016,6.3,13.163,FALSE
8225,262504,Allegiant,en,3/9/16,3,March,2016,6.1,27.439,FALSE
18225,262504,Allegiant,en,3/9/16,3,March,2016,6.1,27.439,FALSE
3708,333371,10 Cloverfield Lane,en,3/10/16,3,March,2016,7,19.942,FALSE
13708,333371,10 Cloverfield Lane,en,3/10/16,3,March,2016,7,19.942,FALSE
489,369557,Sing Street,en,3/11/16,3,March,2016,7.9,15.132,FALSE
8940,356842,The Ones Below,en,3/11/16,3,March,2016,5.9,8.491,FALSE
10489,369557,Sing Street,en,3/11/16,3,March,2016,7.9,15.132,FALSE
18940,356842,The Ones Below,en,3/11/16,3,March,2016,5.9,8.491,FALSE
2942,324560,Brimstone,en,3/12/16,3,March,2016,7.1,17.012,FALSE
4952,376570,Hush,en,3/12/16,3,March,2016,6.7,14.093,FALSE
12942,324560,Brimstone,en,3/12/16,3,March,2016,7.1,17.012,FALSE
14952,376570,Hush,en,3/12/16,3,March,2016,6.7,14.093,FALSE
8199,347689,Pee-wee's Big Holiday,en,3/15/16,3,March,2016,6.1,11.064,FALSE
18199,347689,Pee-wee's Big Holiday,en,3/15/16,3,March,2016,6.1,11.064,FALSE
4884,381262,In Her Name,fr,3/16/16,3,March,2016,6.8,11.367,FALSE
14884,381262,In Her Name,fr,3/16/16,3,March,2016,6.8,11.367,FALSE
1661,339984,Miracles from Heaven,en,3/17/16,3,March,2016,7.4,36.859,FALSE
7833,341006,The Belko Experiment,en,3/17/16,3,March,2016,6.2,18.591,FALSE
11661,339984,Miracles from Heaven,en,3/17/16,3,March,2016,7.4,36.859,FALSE
17833,341006,The Belko Experiment,en,3/17/16,3,March,2016,6.2,18.591,FALSE
